[0.01, 0.01]
[0.02, 0.0]
[0.03, 0.01]
[0.04, 0.0]
[0.05, 0.01]
[0.060000000000000005, 0.0]
[0.07, 0.01]
[0.08, 0.02]
[0.09, 0.01]
[0.09999999999999999, 0.02]
[0.10999999999999999, 0.01]
[0.11999999999999998, 0.02]
[0.12999999999999998, 0.03]
[0.13999999999999999, 0.019999999999999997]
[0.15, 0.03]
[0.16, 0.04]
[0.17, 0.03]
[0.18000000000000002, 0.04]
[0.19000000000000003, 0.05]
[0.20000000000000004, 0.04]
[0.21000000000000005, 0.05]
[0.22000000000000006, 0.060000000000000005]
[0.23000000000000007, 0.05]
[0.24000000000000007, 0.060000000000000005]
[0.25000000000000006, 0.07]
[0.26000000000000006, 0.08]
[0.2700000000000001, 0.09]
[0.2800000000000001, 0.08]
[0.2900000000000001, 0.09]
[0.3000000000000001, 0.09999999999999999]
[0.3100000000000001, 0.10999999999999999]
[0.3200000000000001, 0.11999999999999998]
[0.3300000000000001, 0.10999999999999999]
[0.34000000000000014, 0.11999999999999998]
[0.35000000000000014, 0.12999999999999998]
[0.36000000000000015, 0.13999999999999999]
[0.37000000000000016, 0.15]
[0.38000000000000017, 0.16]
[0.3900000000000002, 0.17]
[0.4000000000000002, 0.18000000000000002]
[0.4100000000000002, 0.19000000000000003]
[0.4200000000000002, 0.20000000000000004]
[0.4300000000000002, 0.21000000000000005]
[0.4400000000000002, 0.22000000000000006]
[0.45000000000000023, 0.23000000000000007]
[0.46000000000000024, 0.24000000000000007]
[0.47000000000000025, 0.25000000000000006]
[0.48000000000000026, 0.26000000000000006]
[0.49000000000000027, 0.2700000000000001]
[0.5000000000000002, 0.2800000000000001]
[0.5100000000000002, 0.2900000000000001]
[0.5200000000000002, 0.3000000000000001]
[0.5300000000000002, 0.3100000000000001]
[0.5400000000000003, 0.3200000000000001]
[0.5500000000000003, 0.3300000000000001]
[0.5600000000000003, 0.34000000000000014]
[0.5700000000000003, 0.35000000000000014]
[0.5800000000000003, 0.36000000000000015]
[0.5900000000000003, 0.37000000000000016]
[0.6000000000000003, 0.38000000000000017]
[0.6100000000000003, 0.3900000000000002]
[0.6200000000000003, 0.4000000000000002]
[0.6300000000000003, 0.4100000000000002]
[0.6400000000000003, 0.4200000000000002]
[0.6500000000000004, 0.4300000000000002]
[0.6600000000000004, 0.4400000000000002]
[0.6700000000000004, 0.45000000000000023]
[0.6750000000000004, 0.46000000000000024]
[0.6800000000000004, 0.46500000000000025]
[0.6850000000000004, 0.47500000000000026]
[0.6950000000000004, 0.48500000000000026]
[0.7000000000000004, 0.4950000000000003]
[0.7100000000000004, 0.5050000000000002]
[0.7125000000000004, 0.5100000000000002]
[0.7175000000000004, 0.5200000000000002]
[0.7225000000000004, 0.5250000000000002]
[0.7275000000000004, 0.5350000000000003]
[0.7375000000000004, 0.5450000000000003]
[0.7400000000000003, 0.5500000000000003]
[0.7450000000000003, 0.5600000000000003]
[0.7500000000000003, 0.5650000000000003]
[0.7550000000000003, 0.5750000000000003]
[0.7600000000000003, 0.5800000000000003]
[0.7650000000000003, 0.5900000000000003]
[0.7700000000000004, 0.5950000000000003]
[0.7725000000000003, 0.6000000000000003]
[0.7775000000000003, 0.6100000000000003]
[0.7825000000000003, 0.6150000000000003]
[0.7875000000000003, 0.6250000000000003]
[0.7925000000000003, 0.6300000000000003]
[0.7950000000000003, 0.6350000000000003]
[0.8000000000000003, 0.6450000000000004]
[0.8050000000000003, 0.6500000000000004]
[0.8075000000000002, 0.6550000000000004]
[0.8125000000000002, 0.6650000000000004]
[0.8175000000000002, 0.6700000000000004]
[0.8200000000000002, 0.6750000000000004]
