[0.01, 0.01]
[1.0043164062499976, 1.0086328124999997]
[1.0042773437499977, 1.0085546874999998]
[1.0042382812499977, 1.0084765624999998]
[1.0042187499999977, 1.0084374999999999]
[1.0041992187499977, 1.0083984375]
[1.0041796874999978, 1.008359375]
[1.0041601562499978, 1.0083203125]
[1.0041406249999978, 1.00828125]
[1.0041210937499978, 1.0082421875]
[1.0041015624999978, 1.008203125]
[1.0040820312499978, 1.0081640625000001]
[1.0040624999999979, 1.0081250000000002]
[1.0040429687499979, 1.0080859375000002]
[1.004023437499998, 1.0080468750000002]
[1.004003906249998, 1.0080078125000003]
[1.003984374999998, 1.0079687500000003]
[1.003964843749998, 1.0079296875000003]
[1.003945312499998, 1.0078906250000004]
[1.003925781249998, 1.0078515625000004]
[1.003906249999998, 1.0078125000000004]
[1.003886718749998, 1.0077734375000005]
[1.003867187499998, 1.0077343750000005]
[1.003847656249998, 1.0076953125000006]
[1.003828124999998, 1.0076562500000006]
[1.003808593749998, 1.0076171875000006]
[1.003789062499998, 1.0075781250000007]
[1.0037695312499981, 1.0075390625000007]
[1.0037499999999981, 1.0075000000000007]
[1.0037304687499982, 1.0074609375000008]
[1.0037109374999982, 1.0074218750000008]
[1.0036914062499982, 1.0073828125000008]
[1.0036718749999982, 1.0073437500000009]
[1.0036523437499982, 1.007304687500001]
[1.0036328124999983, 1.007265625000001]
[1.0036132812499983, 1.007226562500001]
[1.0035937499999983, 1.007187500000001]
[1.0035742187499983, 1.007148437500001]
[1.0035546874999983, 1.007109375000001]
[1.0035351562499983, 1.0070703125000011]
[1.0035156249999984, 1.0070312500000012]
[1.0034960937499984, 1.0069921875000012]
[1.0034765624999984, 1.0069531250000012]
[1.0034570312499984, 1.0069140625000013]
[1.0034374999999984, 1.0068750000000013]
[1.0034179687499984, 1.0068359375000013]
[1.0033984374999985, 1.0067968750000014]
[1.0033789062499985, 1.0067578125000014]
[1.0033593749999985, 1.0067187500000014]
[1.0033398437499985, 1.0066796875000015]
[1.0033203124999985, 1.0066406250000015]
[1.0033007812499986, 1.0066015625000015]
[1.0032812499999986, 1.0065625000000016]
[1.0032617187499986, 1.0065234375000016]
[1.0032421874999986, 1.0064843750000017]
[1.0032226562499986, 1.0064453125000017]
[1.0032031249999986, 1.0064062500000017]
[1.0031835937499987, 1.0063671875000018]
[1.0031640624999987, 1.0063281250000018]
[1.0031445312499987, 1.0062890625000018]
[1.0031249999999987, 1.0062500000000019]
[1.0031054687499987, 1.006210937500002]
[1.0030859374999987, 1.006171875000002]
[1.0030664062499988, 1.006132812500002]
[1.0030468749999988, 1.006093750000002]
[1.0030273437499988, 1.006054687500002]
[1.0030078124999988, 1.006015625000002]
[1.0029882812499988, 1.0059765625000021]
[1.0029687499999989, 1.0059375000000021]
[1.0029492187499989, 1.0058984375000022]
[1.002929687499999, 1.0058593750000022]
[1.002910156249999, 1.0058203125000023]
[1.002890624999999, 1.0057812500000023]
[1.002871093749999, 1.0057421875000023]
[1.002851562499999, 1.0057031250000024]
[1.002832031249999, 1.0056640625000024]
[1.002812499999999, 1.0056250000000024]
[1.002792968749999, 1.0055859375000025]
[1.002773437499999, 1.0055468750000025]
[1.002753906249999, 1.0055078125000025]
[1.002734374999999, 1.0054687500000026]
[1.002714843749999, 1.0054296875000026]
[1.002695312499999, 1.0053906250000026]
[1.0026757812499991, 1.0053515625000027]
[1.0026562499999991, 1.0053125000000027]
[1.0026367187499992, 1.0052734375000028]
[1.0026171874999992, 1.0052343750000028]
[1.0025976562499992, 1.0051953125000028]
[1.0025781249999992, 1.0051562500000029]
[1.0025781249999992, 1.0051562500000029]
